ZIPCODE,Transit_Score,Shopping_Score,Total_Score
10013,65,100,82.5
10036,70.83,83.91,77.37
10001,65.83,85.14,75.48
11201,71.67,73.95,72.81
10012,70.83,67.47,69.15
11211,85,42.16,63.58
10019,69.17,50.16,59.66
10018,67.5,47.39,57.44
10022,75.83,36.8,56.32
10017,75.83,36.53,56.18
11222,88.33,22.36,55.34
11354,71.67,36.1,53.89
11373,100,6.03,53.02
99999,89.17,16,52.58
11377,99.17,5.01,52.09
11217,71.67,32.41,52.04
10065,78.33,24.25,51.29
11372,96.67,5.82,51.24
11206,87.5,14.65,51.08
11378,95.83,6.23,51.03
11104,93.33,6.72,50.02
11237,91.67,7.94,49.8
10016,75,24.45,49.72
11103,94.17,4.7,49.44
11355,68.33,30.48,49.4
11368,84.17,14.36,49.26
11101,88.33,9.32,48.82
11369,90,7.45,48.72
10007,62.5,34.91,48.7
11374,90,7.18,48.59
10014,64.17,32.34,48.26
11205,78.33,18.17,48.25
10011,65.83,30.44,48.14
10044,83.33,12.47,47.9
10021,77.5,17.3,47.4
11109,80.83,13.57,47.2
11379,89.17,4.62,46.9
11106,86.67,7.06,46.86
10003,71.67,22.01,46.84
10002,74.17,19.29,46.73
11221,85,7.87,46.44
11102,86.67,5.96,46.32
10023,69.17,23.36,46.26
11370,86.67,5.16,45.92
10075,77.5,14.12,45.81
10038,65,26.46,45.73
10009,74.17,17.19,45.68
10028,79.17,12.12,45.64
10010,72.5,18.56,45.53
11238,75.83,13.86,44.84
11385,85,4.07,44.54
11216,79.17,8.81,43.99
11375,80,7.97,43.98
10128,77.5,9.95,43.72
10282,60.83,25.91,43.37
11105,82.5,3.95,43.22
11356,74.17,12.2,43.18
11233,80.83,5.51,43.17
10029,77.5,7.15,42.32
10069,64.17,19.17,41.67
10006,61.67,21.07,41.37
10005,62.5,19.57,41.04
11213,75.83,6,40.92
10024,70,11.08,40.54
10025,70.83,8.55,39.69
10035,73.33,5.23,39.28
11225,70.83,7.71,39.27
10280,60,18.14,39.07
11231,62.5,14.75,38.62
10004,60.83,15.99,38.41
10026,70,6.69,38.34
11367,64.17,11.9,38.04
11215,64.17,11.7,37.94
11421,71.67,4.14,37.9
11212,70.83,4.03,37.43
11207,70,3.48,36.74
11357,63.33,10.1,36.71
10454,69.17,3.83,36.5
10027,64.17,5.56,34.86
11226,63.33,5.84,34.58
10455,65.83,3.14,34.48
10474,65,3.85,34.42
10037,64.17,4.59,34.38
10030,64.17,4.48,34.33
11418,63.33,5.21,34.27
11203,63.33,4.51,33.92
10451,64.17,3.53,33.85
11415,60.83,6.26,33.54
11218,60,6.49,33.24
11358,55,9.97,32.48
10031,60,4.24,32.12
10473,59.17,4.57,31.87
11416,60,3.73,31.86
11232,55,8.04,31.52
10039,59.17,3.48,31.32
11208,59.17,2.6,30.88
11417,57.5,3.32,30.41
10459,57.5,2.93,30.22
11419,55.83,4.15,29.99
10456,56.67,2.68,29.68
10032,55.83,3.26,29.54
11239,55.83,2.41,29.12
10452,55,2.86,28.93
11435,52.5,4.98,28.74
10472,53.33,3.49,28.41
11210,52.5,3.86,28.18
10465,51.67,4.59,28.13
11219,50,5.09,27.54
11365,46.67,8.2,27.44
11420,51.67,3.18,27.42
11432,49.17,5.41,27.29
11220,48.33,5.17,26.75
11230,49.17,4.02,26.6
11236,50,2.68,26.34
10033,50,2.61,26.3
11414,50,2.52,26.26
11360,46.67,5.74,26.2
10460,48.33,2.73,25.53
11204,46.67,3.98,25.32
10457,48.33,2.19,25.26
11436,46.67,3.02,24.85
10040,46.67,2.31,24.49
10462,45.83,3.07,24.45
10453,46.67,2.2,24.44
11433,45,3.88,24.44
11366,42.5,5.71,24.1
11361,41.67,5.33,23.5
10034,42.5,1.99,22.24
11228,40.83,3.53,22.18
10461,40.83,3.05,21.94
11423,38.33,3.81,21.07
10458,40,1.99,21
11364,37.5,4.13,20.82
10468,39.17,1.72,20.44
11214,37.5,2.84,20.17
11209,36.67,3.36,20.02
11234,37.5,2.15,19.82
11434,36.67,2.17,19.42
11412,35.83,2.84,19.34
11223,35,2.77,18.89
11229,34.17,2.6,18.39
10463,35,1.52,18.26
11427,33.33,3.05,18.19
10469,33.33,2.21,17.77
11428,32.5,2.75,17.62
11413,32.5,1.97,17.24
11363,30,3.26,16.63
11429,30.83,2.34,16.58
10467,30.83,1.72,16.27
11235,30,2.13,16.07
11362,29.17,2.86,16.02
11411,29.17,2.11,15.64
10475,28.33,2.24,15.28
10471,28.33,1.2,14.76
11422,27.5,1.58,14.54
11426,26.67,2.23,14.45
10470,26.67,1.46,14.07
10464,25.83,2.13,13.98
11224,24.17,2.08,13.12
11004,24.17,1.96,13.07
10466,23.33,1.64,12.48
11693,21.67,1.12,11.4
10305,19.17,1.67,10.42
11694,19.17,0.88,10.02
10304,17.5,1.53,9.52
10301,16.67,1.76,9.22
11697,16.67,1.25,8.96
11692,16.67,1.02,8.85
10310,15.83,1.43,8.63
11691,15,1,8
10302,10.83,1.11,5.97
10306,9.17,0.85,5.01
10303,8.33,0.79,4.56
10314,8.33,0.66,4.5
10308,6.67,0.54,3.6
10312,5.83,0.34,3.08
10309,1.67,0.12,0.9
10307,0,0,0
